"Early Childhood Services Directory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand Early Childhood Services including contact details, institution information, regional information and decile information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"^Email addresses are only listed for Early Childhood Services that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The most up to date information that we have available has been provided.  Recent changes may not be reflected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roll data as at 1 July 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional Council: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Territorial Authority: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neighbourhood (SA2): ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ECE Type: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20 Hours ECE: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Service Number,Service Name,Telephone,Email^,Street,Suburb,Town / City,Service Type,Definition,Authority,20 Hours ECE,KME Peak Body,Takiwā,Equity Index (EQI),Territorial Authority,Urban/Rural,Regional Council,Education Region,General Electorate,Māori Electorate,Neighbourhood (SA2 code),Neighbourhood (SA2),Ward,Management Contact Name,Management Postal Address,Management Postal Suburb,Management Postal City,Management Contact Phone,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Max. Licenced Positions,"Max. Under 2’s",Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Total,European / Pākehā,Māori,Pacific,Asian,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Anne West Kindergarten,09-408 1110,richard@nka.org.nz,92 Pukepoto Road,,Kaitaia,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,100800,Kaitāia West,Te Hiku General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,,,-35.118228070,173.258564610,30,0,0,0,4,10,17,0,31,16,22,1,5,0
5002,Doubtless Bay Kindergarten,09-406 0138,richard@nka.org.nz,5 E Mamaru Road,,Taipa,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 3,Far North District,Rural settlement,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,101101,Doubtless Bay,Te Hiku General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99051,Te Kāhui Tai Kura o Te Hiku,-34.994477740,173.464729800,30,0,0,0,0,6,26,3,35,32,16,4,3,1
5003,Mission Place Kindergarten,09-4082444,richard@nka.org.nz,Mission Place,,Kaitaia,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 3,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,100700,Kaitāia East,Te Hiku General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,,,-35.116079930,173.270685390,30,0,0,0,5,12,14,2,33,23,23,6,0,0
5004,Hillcrest Kindergarten,09-4010548,richard@nka.org.nz,Cnr Park & Hillcrest Roads,,Kaikohe,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,103501,Kaikohe,Kaikohe-Hokianga General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99060,Te Arahura Community of Learning,-35.405553130,173.796409480,30,0,0,0,2,13,15,0,30,15,27,2,2,0
5006,Waitangi Kindergarten,09-4027365,richard@nka.org.nz,Te Kemara Avenue,,Paihia,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Far North District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,103900,Paihia,Bay of Islands-Whangaroa General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99117,Peowhairangi Community of Learning,-35.278120570,174.081808000,30,0,0,0,13,10,11,1,35,17,20,3,2,0
5007,Dargaville Free Kindergarten,09-4398875,richard@nka.org.nz,Portland Street,,Dargaville,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Kaipara District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,109301,Dargaville,Wairoa General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99185,Northern Wairoa Kāhui Ako,-35.939804240,173.868326630,40,0,0,0,0,13,27,0,40,37,21,5,2,0
5008,Ruawai Kindergarten,09-4392415,richard@nka.org.nz,4376A State Highway 12,,Ruawai,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Kaipara District,Rural other,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,109400,Rūāwai-Matakohe,Otamatea General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99185,Northern Wairoa Kāhui Ako,-36.122211930,174.011401590,40,0,0,0,2,26,20,2,50,44,14,4,2,0
5009,Selwyn Park Kindergarten,09-4397519,richard@nka.org.nz,31 McKay Cresent,,Dargaville,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Kaipara District,Small urban area,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,109301,Dargaville,Wairoa General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99185,Northern Wairoa Kāhui Ako,-35.933170170,173.875022280,30,0,0,0,0,8,20,2,30,10,22,8,3,0
5010,Forest View Kindergarten,09-4372965,richard@nka.org.nz,215 Kiripaka Road,Tikipunga,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangārei,Te Tai Tokerau,106201,Tikipunga North,Whangārei Urban General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99182,Te Tai Raki Whangarei Kāhui Ako,-35.684404140,174.330054270,40,0,0,0,1,15,21,2,39,26,20,2,2,0
5011,First Ave Hora Hora Kindergarten,09-4387053,richard@nka.org.nz,43 A First Avenue,Whangarei CBD,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangārei,Te Tai Tokerau,107000,Woodhill-Vinetown,Whangārei Urban General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.729124220,174.313153000,40,0,0,0,7,15,20,0,42,23,14,3,11,0
5012,Te Kamo Kindergarten,09-4350378,richard@nka.org.nz,5 Farmer Street,Kamo,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangārei,Te Tai Tokerau,106000,Kamo Central,Whangārei Urban General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99182,Te Tai Raki Whangarei Kāhui Ako,-35.681472050,174.304351880,30,0,0,0,8,8,18,1,35,26,14,5,5,1
5013,Mairtown Free Kindergarten,09-4372742,richard@nka.org.nz,21 Princes Street,Mairtown,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangārei,Te Tai Tokerau,106800,Mairtown,Whangārei Urban General Ward,Richard Storey,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.706371720,174.322989170,40,0,0,0,0,14,33,2,49,47,9,3,4,1
